application,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,3_1,3_2,3_3,3_4,3_5,3_6,3_7,3_8,4_1,4_2,4_3,4_4,4_5,4_6,4_7,4_8,Aggregate
MSNetviews,4.44,10.3,25.7,19.5,97.1,48.4,23.7,10.4,25.6,4.43,13.8,48.4,10.8,97.0,8.17,24.5,24.5,48.5,48.8,19.4,23.2,6.48,10.9,24.5,48.6,6.51,10.4,30.7,48.5,96.8,14.0,25.5,959.53
MSNetviews,9.45,17.2,9.44,5.68,7.22,42.4,21.2,3.86,17.0,42.8,9.46,14.2,12.2,9.47,16.9,14.0,12.2,42.3,42.3,3.86,84.6,7.11,7.1,84.5,42.3,42.2,42.2,84.5,84.4,42.4,42.2,42.3,958.95
MSNetviews,8.04,28.3,9.35,5.66,21.3,9.34,5.61,21.1,3.82,83.5,3.84,7.11,9.35,7.12,21.0,14.0,16.8,83.4,41.8,9.43,83.4,41.6,41.7,7.16,41.9,42.0,83.3,41.7,41.8,41.8,41.6,41.9,959.73
MSNetviews,16.6,7.01,42.3,3.84,5.47,23.4,42.2,27.6,20.7,42.2,44.1,7.03,45.7,42.4,42.1,47.4,84.0,4.51,3.82,42.0,41.9,3.87,42.0,17.0,42.1,42.0,3.81,42.0,42.2,42.0,3.78,41.9,958.94
MSNetviews,3.24,68.3,7.84,11.7,34.3,9.95,7.77,5.79,34.3,68.5,34.3,3.16,34.2,34.8,60.2,68.4,3.25,34.4,31.7,34.1,34.2,34.2,34.2,7.9,20.3,34.2,34.2,34.3,34.1,34.2,34.3,34.2,960.5
MSNetviews,23.7,10.4,7.77,23.5,46.2,23.5,46.6,10.8,46.4,4.24,10.3,4.24,7.78,46.9,22.3,23.3,10.4,46.4,46.9,33.5,46.3,28.5,46.3,18.7,13.3,46.5,46.6,46.4,46.6,92.7,18.6,15.5,961.13
MSNetviews,4.36,23.8,6.36,6.38,10.7,14.2,8.37,47.8,14.7,6.37,10.6,95.1,13.7,95.2,23.8,4.36,47.6,95.3,4.33,13.5,95.0,8.02,95.3,10.7,8.03,10.7,19.2,8.03,6.37,47.6,95.2,7.98,958.66
MSNetviews,6.16,4.0,12.5,4.01,9.07,22.2,12.5,7.32,22.2,4.01,5.89,5.93,43.5,43.7,12.5,29.2,13.5,12.6,43.5,13.4,87.0,43.5,43.5,87.0,43.6,87.2,43.7,87.0,43.7,7.34,43.5,13.5,958.23
MSNetviews,10.9,8.74,6.41,15.4,3.47,15.6,38.1,3.47,15.5,37.9,20.0,15.5,38.1,38.0,75.7,6.49,8.39,38.0,38.1,6.08,6.96,38.2,75.8,38.2,38.2,75.8,38.1,37.9,38.2,19.1,75.7,38.0,960.01
MSNetviews,12.8,40.5,39.8,40.0,5.37,8.91,40.5,9.03,16.2,3.69,5.41,39.9,20.0,39.8,3.77,3.69,13.4,4.77,39.8,39.9,39.8,79.6,6.7,39.8,40.0,79.7,6.7,39.9,79.6,39.9,39.8,39.8,958.54
MSNetviews,12.6,14.5,36.2,8.28,36.5,36.8,72.2,5.01,36.1,6.24,36.5,11.6,36.1,36.1,36.1,3.42,36.1,72.2,36.0,36.1,36.1,36.1,3.32,36.0,3.32,36.2,36.1,36.4,36.4,36.5,36.4,24.2,961.69
MSNetviews,11.6,40.5,16.2,3.67,8.96,9.0,6.73,8.95,20.2,16.5,9.05,3.69,40.3,3.73,11.7,21.3,40.3,16.3,80.7,80.6,6.78,9.1,80.6,9.01,40.2,40.4,40.5,40.3,40.5,80.5,40.3,80.6,958.77
MSNetviews,36.2,12.4,3.89,36.2,18.2,36.1,36.0,4.95,36.0,6.09,36.6,72.3,36.1,36.1,36.1,72.3,19.0,4.94,72.3,8.2,36.1,36.1,36.0,12.1,14.6,10.6,36.1,36.1,36.1,36.1,36.1,8.12,954.09
MSNetviews,10.3,18.5,13.1,23.1,45.8,4.2,18.5,45.8,45.8,10.3,10.3,10.2,46.0,13.1,7.47,15.4,10.2,7.66,15.3,10.2,45.8,7.66,4.17,13.1,45.7,45.7,45.7,91.5,45.8,91.4,91.4,45.6,954.8
MSNetviews,7.37,55.2,17.7,18.4,7.35,15.7,12.3,56.0,22.2,15.8,7.37,22.2,22.2,110.0,27.6,12.3,21.3,55.3,7.37,55.1,7.37,32.8,31.7,27.6,7.45,17.8,7.37,53.8,22.9,55.4,110.0,12.3,955.25
MSNetviews,6.73,5.43,7.47,6.71,8.94,6.69,20.3,3.7,6.99,26.6,40.4,40.2,39.9,6.74,8.94,6.73,79.9,16.2,40.0,39.9,39.9,6.72,80.0,40.0,40.0,80.0,8.92,40.0,40.0,39.9,39.9,80.0,953.81
MSNetviews,14.4,11.2,11.2,25.3,14.4,20.3,11.3,50.8,20.2,16.9,6.74,50.3,101.0,6.75,6.72,14.4,50.4,101.0,16.8,14.4,101.0,25.2,50.4,6.75,50.4,8.47,4.6,6.76,50.6,20.2,50.3,16.8,956.0
MSNetviews,6.47,15.6,8.59,4.26,5.21,15.7,25.1,11.2,33.5,3.52,38.6,15.6,7.12,38.3,8.52,38.7,11.1,15.4,38.3,38.3,76.7,38.4,76.7,38.4,38.4,38.3,76.7,38.4,38.3,38.3,38.3,38.3,954.29
MSNetviews,35.1,35.3,35.4,35.0,35.1,14.2,35.0,10.3,35.0,35.4,10.3,35.0,31.5,35.1,5.94,14.5,35.0,67.2,4.88,10.2,70.2,35.2,35.0,4.79,35.2,35.0,35.1,35.0,35.2,35.0,35.1,7.95,954.2
MSNetviews,10.3,4.13,4.16,30.0,6.05,10.2,17.8,23.0,45.2,7.63,19.2,23.0,90.3,45.2,45.2,10.2,4.13,45.5,18.1,6.1,38.6,44.5,23.1,18.1,45.3,45.2,45.2,45.1,45.5,47.8,45.2,45.2,954.2
MSNetviews,4.41,10.2,25.5,19.3,96.6,48.1,23.5,10.4,25.4,4.4,13.8,48.2,10.8,96.5,8.12,24.4,24.3,48.3,48.3,19.3,23.1,6.44,10.9,24.4,48.3,6.48,10.4,30.5,48.3,96.5,14.0,25.4,954.55
MSNetviews,9.4,17.1,9.35,5.65,7.16,42.0,21.1,3.84,16.9,42.5,9.4,14.1,12.1,9.39,16.8,13.9,12.2,42.0,42.0,3.83,84.2,7.07,7.06,84.1,42.0,42.0,42.1,84.1,84.0,42.0,42.0,42.0,953.35
MSNetviews,7.97,28.2,9.28,5.61,21.1,9.27,5.57,21.0,3.79,83.0,3.81,7.05,9.28,7.07,20.8,13.9,16.7,83.0,41.6,9.38,83.1,41.4,41.5,7.11,41.6,41.6,83.0,41.5,41.6,41.5,41.5,41.6,954.39
MSNetviews,16.5,6.95,41.8,3.81,5.43,23.3,41.9,27.4,20.5,41.9,43.7,6.99,45.3,42.0,41.8,47.0,83.7,4.19,3.81,41.8,41.7,3.84,41.7,16.9,41.8,41.8,3.73,41.8,41.8,41.7,3.76,41.7,952.01
MSNetviews,3.2,67.9,7.76,11.6,34.0,9.86,7.7,5.72,34.1,68.1,34.0,3.13,33.9,34.4,59.8,68.0,3.19,34.0,31.5,33.9,33.9,33.9,33.9,7.81,20.0,33.9,33.9,34.0,33.9,33.9,34.0,33.9,952.77
MSNetviews,23.6,10.3,7.72,23.3,46.1,23.3,46.3,10.7,46.2,4.2,10.3,4.2,7.72,46.4,22.2,23.2,10.3,46.1,46.4,33.3,46.1,28.4,46.1,18.6,13.2,46.2,46.1,46.2,46.2,92.2,18.5,15.4,955.04
MSNetviews,4.32,23.7,6.34,6.35,10.7,14.2,8.31,47.7,14.6,6.34,10.6,94.7,13.7,94.7,23.7,4.33,47.4,94.9,4.32,13.5,94.7,7.98,94.9,10.7,7.98,10.7,19.1,7.99,6.33,47.4,94.8,7.95,954.94
MSNetviews,6.12,3.98,12.4,3.97,9.01,22.1,12.4,7.26,22.1,3.97,5.85,5.89,43.4,43.4,12.4,29.0,13.5,12.5,43.3,13.4,86.7,43.4,43.4,86.6,43.4,86.7,43.3,86.6,43.4,7.31,43.4,13.5,953.66
MSNetviews,10.9,8.62,6.34,15.3,3.44,15.4,37.8,3.44,15.4,37.7,19.8,15.4,37.8,37.7,75.3,6.43,8.32,37.8,37.8,6.01,6.9,37.8,75.4,37.8,37.8,75.4,37.7,37.7,37.9,19.0,75.4,37.7,953.2
MSNetviews,12.7,40.4,39.6,39.8,5.33,8.86,40.0,8.98,16.1,3.65,5.36,39.6,19.9,39.6,3.73,3.65,13.3,4.74,39.6,39.7,39.6,79.2,6.65,39.6,39.6,79.3,6.64,39.7,79.3,39.6,39.6,39.6,952.99
MSNetviews,12.4,14.5,36.0,8.21,36.2,36.2,71.7,4.96,35.9,6.17,36.2,11.5,35.8,35.9,35.8,3.38,35.8,71.9,35.8,35.8,35.8,35.8,3.29,35.7,3.29,35.9,35.9,35.9,36.0,36.0,36.0,24.0,953.7
MSNetviews,11.5,40.2,16.1,3.64,8.9,8.94,6.67,8.89,20.1,16.4,8.97,3.65,40.1,3.69,11.6,21.1,40.0,16.2,80.2,80.3,6.74,9.04,80.2,8.96,40.1,40.1,40.1,40.2,40.1,80.2,40.1,80.2,953.19
